rule_id,query_name,industry,objective,category,subcategory,source_query_syntax,apply_on,speaker_hint,required_groups,forbidden_terms,window_seconds,first_n_seconds_only,exclude_first_n_seconds,compiled_regex,notes,regex_flags
1,$10 Off,Comcast,,Billing,Waiver / Fee,"TenDollarsOFF =OR(NOTLIKE(""Ten dollars off"",""charge was ten dollars"",""ten dollars a month"",\
""fifteen dollars off"",""ten dollars and ""),NOTLIKE(""save you ten dollars"",""seventy dollars"", \
""seventeen dollars""),""ten dollars discount"")
",Full conversation text (timestamps & speaker labels allowed),No specific speaker constraint (match anywhere),"[[""Ten dollars off"", ""charge was ten dollars"", ""ten dollars a month"", ""fifteen dollars off"", ""ten dollars and"", ""save you ten dollars"", ""seventy dollars"", ""seventeen dollars"", ""ten dollars discount""]]","[""Ten dollars off"", ""charge was ten dollars"", ""ten dollars a month"", ""\""fifteen dollars off"", ""save you ten dollars"", ""seventy dollars"", ""\""seventeen dollars""]",,,,"^(?!.*Ten\s+dollars\s+off)(?!.*charge\s+was\s+ten\s+dollars)(?!.*ten\s+dollars\s+a\s+month)(?!.*""fifteen\s+dollars\s+off)(?!.*save\s+you\s+ten\s+dollars)(?!.*seventy\s+dollars)(?!.*""seventeen\s+dollars)(?=.*(?:Ten\s+dollars\s+off|charge\s+was\s+ten\s+dollars|ten\s+dollars\s+a\s+month|fifteen\s+dollars\s+off|ten\s+dollars\s+and|save\s+you\s+ten\s+dollars|seventy\s+dollars|seventeen\s+dollars|ten\s+dollars\s+discount)).*$",,IGNORECASE
2,$10 Off 8.5,Comcast,,Billing,Waiver / Fee,"OFF = NOTLIKE(""ten dollars off"",""take fifteen dollars off"")

SAVE = OR(NOTLIKE(""save ten dollars"",""paying ten dollars""),""save about ten dollars"",\
NOTLIKE(""save you ten dollars"",""take fifteen dollars off""), NOTLIKE(""saving ten dollars"",""additional ten dollars""))

RESULT = OR(OFF,SAVE)
",Full conversation text (timestamps & speaker labels allowed),No specific speaker constraint (match anywhere),"[[""OFF"", ""SAVE""]]","[""ten dollars off"", ""take fifteen dollars off"", ""save ten dollars"", ""paying ten dollars"", ""save you ten dollars"", ""take fifteen dollars off"", ""saving ten dollars"", ""additional ten dollars""]",,,,^(?!.*ten\s+dollars\s+off)(?!.*take\s+fifteen\s+dollars\s+off)(?!.*save\s+ten\s+dollars)(?!.*paying\s+ten\s+dollars)(?!.*save\s+you\s+ten\s+dollars)(?!.*take\s+fifteen\s+dollars\s+off)(?!.*saving\s+ten\s+dollars)(?!.*additional\s+ten\s+dollars)(?=.*(?:OFF|SAVE)).*$,,IGNORECASE
3,$20 Credit,Comcast,,Billing,Credit,"TwentyDollarCredit=NOTLIKE(OR(""Twenty dollar credit"",""Twenty dollar for the credit"",\
""Twenty dollors discount"",""twenty dollar service credit"",""twenty dollar appreciation credit"", \
""twenty dollar on time""),""twenty dollars payment"",""thirty dollars discount"",""three dollars for"")
",Full conversation text (timestamps & speaker labels allowed),No specific speaker constraint (match anywhere),"[[""Twenty dollar credit"", ""Twenty dollar for the credit"", ""\""Twenty dollors discount"", ""twenty dollar service credit"", ""twenty dollar appreciation credit"", ""\""twenty dollar on time""]]",[],,,,"^(?=.*(?:Twenty\s+dollar\s+credit|Twenty\s+dollar\s+for\s+the\s+credit|""Twenty\s+dollors\s+discount|twenty\s+dollar\s+service\s+credit|twenty\s+dollar\s+appreciation\s+credit|""twenty\s+dollar\s+on\s+time)).*$",,IGNORECASE
4,$20 Credit 8.5,Comcast,,Billing,Credit,"twentydollarcredit=OR(""twenty dollar credit"",""twenty dollar for the credit"",""twenty dollar credit to your account"",""Twenty dollors credit on your account"",""Twenty dollor credit off"",\
""twenty dollor customer guarantee credit"",""Twenty dollor credit they give me"",""Twenty dollor credit just for all the problem you had"",""Twenty dollor credit on your bill"",""Twenty 
dollors discount"")
",Full conversation text (timestamps & speaker labels allowed),No specific speaker constraint (match anywhere),"[[""twenty dollar credit"", ""twenty dollar for the credit"", ""twenty dollar credit to your account"", ""Twenty dollors credit on your account"", ""Twenty dollor credit off"", ""\""twenty dollor customer guarantee credit"", ""Twenty dollor credit they give me"", ""Twenty dollor credit just for all the problem you had"", ""Twenty dollor credit on your bill"", ""Twenty dollors discount""]]",[],,,,"^(?=.*(?:twenty\s+dollar\s+credit|twenty\s+dollar\s+for\s+the\s+credit|twenty\s+dollar\s+credit\s+to\s+your\s+account|Twenty\s+dollors\s+credit\s+on\s+your\s+account|Twenty\s+dollor\s+credit\s+off|""twenty\s+dollor\s+customer\s+guarantee\s+credit|Twenty\s+dollor\s+credit\s+they\s+give\s+me|Twenty\s+dollor\s+credit\s+just\s+for\s+all\s+the\s+problem\s+you\s+had|Twenty\s+dollor\s+credit\s+on\s+your\s+bill|Twenty\s+dollors\s+discount)).*$",,IGNORECASE
5,3.95,Comcast,,Account related,Service Protection,"Dollar395 = OR(""three ninety five"",""Three ninety five service protection"")",Full conversation text (timestamps & speaker labels allowed),No specific speaker constraint (match anywhere),"[[""three ninety five"", ""Three ninety five service protection""]]",[],,,,^(?=.*(?:three\s+ninety\s+five|Three\s+ninety\s+five\s+service\s+protection)).*$,,IGNORECASE
6,$39.95 Fee,Comcast,,Billing,Waiver / Fee,";Query Purpose: Categorization/Reporting
;Description: References to $7 equipment fee for the modem
;Department: Business Services (also can be used in residential)
;Author: Arthur Abend III
;Date: 1/6

SEVEN_DOLLAR=OR(""seven dollar fee"",""seven dollar"",""additional seven dollars"",\
NOTLIKE(""new seven dollar charge"",""seventy seven dollar charge""),\
NOTLIKE(""seven dollar charge"",""seventy dollars"",""seventy dollar charge""))

EQUIPMENT=OR(""modem rental fee"",""equipment rental"",""equipment fee"",""for equipment"",""for a modem"",""internet modem"",\
NOTLIKE(""digital voice"",""digital t v"",""additional""),""data modem rental"",""cable modem"",\
""equipment fee for phone and internet"",""for internet"") 

RESULT=FIRST_180(AND_5(SEVEN_DOLLAR,EQUIPMENT))
",Full conversation text (timestamps & speaker labels allowed),No specific speaker constraint (match anywhere),"[[""seven dollar fee"", ""seven dollar"", ""additional seven dollars""], [""modem rental fee"", ""equipment rental"", ""equipment fee"", ""for equipment"", ""for a modem"", ""internet modem""], [""SEVEN_DOLLAR""], [""EQUIPMENT""]]","[""new seven dollar charge"", ""seventy seven dollar charge"", ""seven dollar charge"", ""seventy dollars"", ""seventy dollar charge"", ""digital voice"", ""digital t v"", ""additional""]",5,180,,^(?!.*new\s+seven\s+dollar\s+charge)(?!.*seventy\s+seven\s+dollar\s+charge)(?!.*seven\s+dollar\s+charge)(?!.*seventy\s+dollars)(?!.*seventy\s+dollar\s+charge)(?!.*digital\s+voice)(?!.*digital\s+t\s+v)(?!.*additional)(?=.*(?:seven\s+dollar\s+fee|seven\s+dollar|additional\s+seven\s+dollars))(?=.*(?:modem\s+rental\s+fee|equipment\s+rental|equipment\s+fee|for\s+equipment|for\s+a\s+modem|internet\s+modem))(?=.*(?:SEVEN_DOLLAR))(?=.*(?:EQUIPMENT)).*$,,IGNORECASE
7,$7 Modem Fee,Comcast,,Billing,Waiver / Fee,"Query Purpose: Categorization/Reporting
;Description: References to $7 equipment fee for the modem
;Department: Business Services (also can be used in residential)
;Author: Arthur Abend III
;Date: 1/6

SEVEN_DOLLAR=OR(""seven dollar fee"",""seven dollar"",""additional seven dollars"",\
NOTLIKE(""new seven dollar charge"",""seventy seven dollar charge""),\
NOTLIKE(""seven dollar charge"",""seventy dollars"",""seventy dollar charge""))

EQUIPMENT=OR(""modem rental fee"",""equipment rental"",""equipment fee"",""for equipment"",""for a modem"",""internet modem"",\
NOTLIKE(""digital voice"",""digital t v"",""additional""),""data modem rental"",""cable modem"",\
""equipment fee for phone and internet"",""for internet"") 

RESULT=FIRST_180(AND_5(SEVEN_DOLLAR,EQUIPMENT))
",Full conversation text (timestamps & speaker labels allowed),No specific speaker constraint (match anywhere),"[[""seven dollar fee"", ""seven dollar"", ""additional seven dollars""], [""modem rental fee"", ""equipment rental"", ""equipment fee"", ""for equipment"", ""for a modem"", ""internet modem""], [""SEVEN_DOLLAR""], [""EQUIPMENT""]]","[""new seven dollar charge"", ""seventy seven dollar charge"", ""seven dollar charge"", ""seventy dollars"", ""seventy dollar charge"", ""digital voice"", ""digital t v"", ""additional""]",5,180,,^(?!.*new\s+seven\s+dollar\s+charge)(?!.*seventy\s+seven\s+dollar\s+charge)(?!.*seven\s+dollar\s+charge)(?!.*seventy\s+dollars)(?!.*seventy\s+dollar\s+charge)(?!.*digital\s+voice)(?!.*digital\s+t\s+v)(?!.*additional)(?=.*(?:seven\s+dollar\s+fee|seven\s+dollar|additional\s+seven\s+dollars))(?=.*(?:modem\s+rental\s+fee|equipment\s+rental|equipment\s+fee|for\s+equipment|for\s+a\s+modem|internet\s+modem))(?=.*(?:SEVEN_DOLLAR))(?=.*(?:EQUIPMENT)).*$,,IGNORECASE
8,2 Year Price Guarantee,Comcast,,Account related,Guarantee,"TwoYearPrice1 = NOTLIKE( ""price is guaranteed for two years"",""customer guarantee"",""any penalty"" )
TwoYearPrice2 = NOTLIKE(""two year agreement"",""original agreement"",""made that agreement"")

Exclude = OR( ""twelve month"",""first year"",""one year"" )

Result = ANDNOT_5( OR( TwoYearPrice1,TwoYearPrice2 ) ,EXCLUDE )
",Full conversation text (timestamps & speaker labels allowed),No specific speaker constraint (match anywhere),"[[""twelve month"", ""first year"", ""one year""], [""TwoYearPrice1"", ""TwoYearPrice2""]]","[""price is guaranteed for two years"", ""customer guarantee"", ""any penalty"", ""two year agreement"", ""original agreement"", ""made that agreement""]",,,,^(?!.*price\s+is\s+guaranteed\s+for\s+two\s+years)(?!.*customer\s+guarantee)(?!.*any\s+penalty)(?!.*two\s+year\s+agreement)(?!.*original\s+agreement)(?!.*made\s+that\s+agreement)(?=.*(?:twelve\s+month|first\s+year|one\s+year))(?=.*(?:TwoYearPrice1|TwoYearPrice2)).*$,,IGNORECASE
9,2 Year Price Guarantee 8.5,Comcast,,Account related,Guarantee,"Query Purpose: Categorization/Reporting
;Description: References to the 2 year price guarantee. 
;Department: ALL
;Author: Arthur Abend III
;Date: 11/17

TWO_YEAR_PRICE1=NOTLIKE(OR(""two year price guarantee"",""price is guaranteed for two years"",""guaranteed price for two years""),\
""customer guarantee"")

TWO_YEAR_PRICE2=NOTLIKE(""two year agreement"",""original agreement"",""made that agreement"")

EXCLUDE=OR(""twelve month"",""first year"",""one year"")

RESULT=ANDNOT_5(OR(TWO_YEAR_PRICE1,TWO_YEAR_PRICE2),EXCLUDE)
",Full conversation text (timestamps & speaker labels allowed),No specific speaker constraint (match anywhere),"[[""two year price guarantee"", ""price is guaranteed for two years"", ""guaranteed price for two years""], [""twelve month"", ""first year"", ""one year""], [""TWO_YEAR_PRICE1"", ""TWO_YEAR_PRICE2""]]","[""two year agreement"", ""original agreement"", ""made that agreement""]",,,,^(?!.*two\s+year\s+agreement)(?!.*original\s+agreement)(?!.*made\s+that\s+agreement)(?=.*(?:two\s+year\s+price\s+guarantee|price\s+is\s+guaranteed\s+for\s+two\s+years|guaranteed\s+price\s+for\s+two\s+years))(?=.*(?:twelve\s+month|first\s+year|one\s+year))(?=.*(?:TWO_YEAR_PRICE1|TWO_YEAR_PRICE2)).*$,,IGNORECASE
10,Accepting Payments,Comcast,,Billing,Payments,"AcceptingPayments = NOTLIKE( OR( ""payment has been accepted"",""payment has been posted"",""payment received"",\
""payment has processed"",NOTLIKE(""payment is processing"",""processing fee"",""process of"")), \
""payment fee"",""payment arrangement"",""payment with"",""payment of"")
",Full conversation text (timestamps & speaker labels allowed),No specific speaker constraint (match anywhere),"[[""payment has been accepted"", ""payment has been posted"", ""payment received"", ""\""payment has processed""]]",[],,,,"^(?=.*(?:payment\s+has\s+been\s+accepted|payment\s+has\s+been\s+posted|payment\s+received|""payment\s+has\s+processed)).*$",,IGNORECASE
